Publication	Status_PCA	Status_PAA	Status_PMA
WatersonNature2005	available	unavailable	unavailable
JakobssonNature2008	unavailable	available	unavailable
LiScience2008	unavailable	available	unavailable
GreenScience2010	unavailable	available	unavailable
RasmussenNature2010	available	available	unavailable
ReichNature2010	unavailable	available	unavailable
KellerNatureCommunications2012	available	available	unavailable
MeyerScience2012	available	available	unavailable
PattersonGenetics2012	available	available	unavailable
PickrellNatureCommunications2012	available	available	unavailable
PrueferNature2013	available	available	unavailable
RaghavanNature2014	available	available	unavailable
FuNature2014	available	available	unavailable
GambaNatureCommunications2014	available	available	unavailable
LazaridisNature2014	available	available	unavailable
MalaspinasCurrentBiology2014	available	available	unavailable
OlaldeNature2014	available	available	unavailable
OrlandoScience2014	available	available	unavailable
RaghavanScience2014	available	available	unavailable
RasmussenNature2014	available	available	unavailable
SkoglundScience2014	available	available	unavailable
1KGPhase3	available	available	unavailable
AllentoftNature2015	available	available	unavailable
CassidyPNAS2016	available	available	unavailable
FuNature2015	available	available	unavailable
GuntherPNAS2015	available	available	unavailable
HaakLazaridis2015	available	available	unavailable
JonesNatureCommunications2015	available	available	unavailable
LlorenteScience2015	available	available	unavailable
MathiesonNature2015	available	available	unavailable
OlaldeMBE2015	available	available	unavailable
RaghavanScience2015	available	available	unavailable
RasmussenNature2015	available	available	unavailable
SkoglundNature2015	available	available	unavailable
BroushakiScience2016	available	available	unavailable
FuNature2016	available	available	unavailable
GordonScience2016	available	unavailable	unavailable
HofmanovaPNAS2016	available	available	unavailable
JeongPNAS2016	available	available	unavailable
KanzawaKiriyamaJHG2016	available	available	unavailable
KilincCurrentBiology2016	available	available	unavailable
LazaridisNature2016	available	available	unavailable
MallickNature2016	available	available	unavailable
MartinianoNatureCommunications2016	available	available	unavailable
MondalNatureGenetics2016	available	available	unavailable
OmrakCurrentBiology2016	available	available	unavailable
SchiffelsNatureCommunications2016	available	available	unavailable
SkoglundNature2016	available	available	unavailable
GonzalesFortesCurrentBiology2017	available	available	unavailable
HaberAJHG2017	available	available	unavailable
JonesCurrentBiology2017	available	available	unavailable
KennettNatureCommunications2017	available	available	unavailable
LazaridisNature2017	available	available	unavailable
LindoPNAS2017	available	available	unavailable
LipsonNature2017	available	available	unavailable
MartinianoPLoSGenetics2017	available	available	unavailable
Pruefer2017	available	available	unavailable
PrueferScience2017	available	unavailable	unavailable
RodriguezVarelaCurrentBiology2017	available	available	unavailable
SaagCurrentBiology2017	available	available	unavailable
ScheunemannNatureCommunications2017	available	available	unavailable
SchlebuschScience2017	available	available	unavailable
SikoraScience2017	available	available	unavailable
SkoglundCell2017	available	available	unavailable
UnterlanderNatureCommunications2017	available	available	unavailable
VanDenBrink2017	available	available	unavailable
VyasAJPA2017	available	available	unavailable
YangCurrentBiology2017	available	available	unavailable
AmorimNatureCommunications2018	available	available	unavailable
DamgaardNature2018	available	available	unavailable
DamgaardScience2018	available	available	unavailable
EbenesersdottirScience2018	available	available	unavailable
FernandesScientificReports2018	available	available	unavailable
FregelPNAS2018	available	available	unavailable
GuntherPLoSBiology2018	available	available	unavailable
HajdinjakNature2018	available	available	unavailable
HarneyMayNatureCommunications2018	available	available	unavailable
JeongPNAS2018	available	available	unavailable
KrzewinskaCurrentBiology2018	available	available	unavailable
KrzewinskaScienceAdvances2018	available	available	unavailable
LamnidisNatureCommunications2018	available	available	unavailable
LindoScienceAdvances2018	available	available	unavailable
LipsonCurrentBiology2018	available	available	unavailable
LipsonScience2018	available	available	unavailable
MathiesonNature2018	available	available	unavailable
McCollScience2018	available	available	unavailable
MittnikNatureCommunications2018	available	available	unavailable
MorenoMayarNature2017	available	available	unavailable
MorenoMayarScience2018	available	available	unavailable
OlaldeNature2018	available	available	unavailable
PosthNakatsukaCell2018	available	available	unavailable
PosthNatureEcologyEvolution2018	available	available	unavailable
ScheibScience2018	available	available	unavailable
SchroederPNAS2018	available	available	unavailable
SlonNature2018	available	available	unavailable
SullivanScienceAdvances2018	unavailable	available	unavailable
ValdioseraPNAS2018	available	available	unavailable
VeeramahPNAS2018	available	available	unavailable
VyasDryadDigitalRepository2017	unavailable	available	unavailable
ZallouaScientificReports2018	available	available	unavailable
delaFuentePNAS2018	available	available	unavailable
vandeLoosdrechtScience2018	available	available	unavailable
AntonioGaoMootsScience2019	available	available	unavailable
BiaginiEJHG2019	available	available	unavailable
BraceDiekmannNatureEcologyEvolution2019	available	available	unavailable
ColonMolecularBiologyandEvolution2020	available	available	unavailable
FeldmanNatureCommunications2019	available	available	unavailable
FeldmanScienceAdvances2019	available	available	unavailable
FlegontovNature2019	available	available	unavailable
GonzalesFortesProcRoyalSocB2019	available	available	unavailable
HaberAJHG2018	available	available	unavailable
HarneyNatureCommunications2019	available	available	unavailable
JarveCurrentBiology2019	available	available	unavailable
JensenSchroederNatureCommunications2019	unavailable	available	unavailable
JeongNatureEcologyEvolution2019	available	available	unavailable
MalmstromProcBiolSci2019	available	available	unavailable
MittnikScience2019	available	available	unavailable
NarasimhanPattersonScience2019	available	available	unavailable
NikitinScientificReports2019	available	available	unavailable
NingCurrentBiology2019	available	available	unavailable
OlaldeScience2019	available	available	unavailable
PrendergastLipsonSawchukScience2019	available	available	unavailable
SaagCurrentBiology2019	available	available	unavailable
SanchezQuintoPNAS2019	available	available	unavailable
ScheibAnnHumBio2019	unavailable	available	unavailable
SchroederPNAS2019	available	available	unavailable
ShindeNarasimhanCell2019	available	available	unavailable
SikoraNature2019	available	available	unavailable
VillalbaMoucoCurrentBiology2019	available	available	unavailable
WangNatureCommunications2019	available	available	unavailable
AgranatTamirCell2020	available	available	unavailable
BarqueraCurrBiol2020	available	unavailable	unavailable
BergstromScience2020	available	available	unavailable
BongersPNAS2020	available	available	unavailable
BrunelPNAS2020	available	available	unavailable
CassidyNature2020	available	available	unavailable
CoutinhoJakobssonAJPA2020	available	available	unavailable
